middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,whichCondition,conditionText,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_condition_loop.thisRepN,task_condition_loop.thisTrialN,task_condition_loop.thisN,task_condition_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,condition_keyResp.keys,condition_keyResp.rt,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,task_centerImg.started,task_centerImg.stopped,task_rightImg1.started,task_rightImg1.stopped,task_rightImg2.started,task_rightImg2.stopped,task_leftImg1.started,task_leftImg1.stopped,task_leftImg2.started,task_leftImg2.stopped,task_fixImg.started,task_fixImg.stopped,task_stim_keyResp.keys,task_stim_keyResp.rt,task_stim_keyResp.started,task_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,conditionComplete_key_resp.keys,conditionComplete_key_resp.rt,id,counterbalance,session,run,date,expName,psychopyVersion,frameRate,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,0,0,0,0,5,0,20,2,,,,,,,,,,,,,,,,,,,,,,,1.6773547094188377,74.39456439996138,74.5977901997976,74.39456439996138,74.5977901997976,74.39456439996138,74.5977901997976,74.39456439996138,74.5977901997976,74.39456439996138,74.5977901997976,74.39456439996138,74.39456439996138,['8'],74.39456439996138,74.39456439996138,1,[0.500946699641645],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,5,1,21,0,,,,,,,,,,,,,,,,,,,,,,,1.6352705410821644,76.12125260010362,76.32468920014799,76.12125260010362,76.32468920014799,76.12125260010362,76.32468920014799,76.12125260010362,76.32468920014799,76.12125260010362,76.32468920014799,76.12125260010362,76.12125260010362,['8'],76.12125260010362,76.12125260010362,1,[0.4601665996015072],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,0,0,0,0,5,2,22,3,,,,,,,,,,,,,,,,,,,,,,,1.9769539078156313,77.80213740002364,78.00472249975428,77.80213740002364,78.00472249975428,77.80213740002364,78.00472249975428,77.80213740002364,78.00472249975428,77.80213740002364,78.00472249975428,77.80213740002364,77.80213740002364,['1'],77.80213740002364,77.80213740002364,1,[0.49026429979130626],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,0,0,0,0,5,3,23,1,,,,,,,,,,,,,,,,,,,,,,,1.501002004008016,79.83152189990506,80.0352575997822,79.83152189990506,80.0352575997822,79.83152189990506,80.0352575997822,79.83152189990506,80.0352575997822,79.83152189990506,80.0352575997822,79.83152189990506,79.83152189990506,['1'],79.83152189990506,79.83152189990506,1,[0.5321236001327634],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,0,0,0,0,6,0,24,2,,,,,,,,,,,,,,,,,,,,,,,1.8466933867735469,81.38564149988815,81.58639890002087,81.38564149988815,81.58639890002087,81.38564149988815,81.58639890002087,81.38564149988815,81.58639890002087,81.38564149988815,81.58639890002087,81.38564149988815,81.38564149988815,['8'],81.38564149988815,81.38564149988815,1,[0.7786889998242259],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,0,0,0,0,6,1,25,3,,,,,,,,,,,,,,,,,,,,,,,1.8927855711422845,83.2801838000305,83.48098829993978,83.2801838000305,83.48098829993978,83.2801838000305,83.48098829993978,83.2801838000305,83.48098829993978,83.2801838000305,83.48098829993978,83.2801838000305,83.2801838000305,['1'],83.2801838000305,83.2801838000305,1,[0.48425780003890395],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,6,2,26,0,,,,,,,,,,,,,,,,,,,,,,,1.9478957915831663,85.22168259974569,85.42562639992684,85.22168259974569,85.42562639992684,85.22168259974569,85.42562639992684,85.22168259974569,85.42562639992684,85.22168259974569,85.42562639992684,85.22168259974569,85.22168259974569,['8'],85.22168259974569,85.22168259974569,1,[0.6687599997967482],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,0,0,0,0,6,3,27,1,,,,,,,,,,,,,,,,,,,,,,,1.5901803607214429,87.2167243999429,87.41753660002723,87.2167243999429,87.41753660002723,87.2167243999429,87.41753660002723,87.2167243999429,87.41753660002723,87.2167243999429,87.41753660002723,87.2167243999429,87.2167243999429,['1'],87.2167243999429,87.2167243999429,1,[0.9039388000965118],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,7,0,28,0,,,,,,,,,,,,,,,,,,,,,,,1.782565130260521,88.85406469972804,89.05847699986771,88.85406469972804,89.05847699986771,88.85406469972804,89.05847699986771,88.85406469972804,89.05847699986771,88.85406469972804,89.05847699986771,88.85406469972804,88.85406469972804,['8'],88.85406469972804,88.85406469972804,1,[0.49246260011568666],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,0,0,0,0,7,1,29,1,,,,,,,,,,,,,,,,,,,,,,,1.933867735470942,90.68714440008625,90.89046420017257,90.68714440008625,90.89046420017257,90.68714440008625,90.89046420017257,90.68714440008625,90.89046420017257,90.68714440008625,90.89046420017257,90.68714440008625,90.68714440008625,['1'],90.68714440008625,90.68714440008625,1,[0.6004135999828577],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,0,0,0,0,7,2,30,3,,,,,,,,,,,,,,,,,,,,,,,1.5781563126252505,92.6673381999135,92.8715182999149,92.6673381999135,92.8715182999149,92.6673381999135,92.8715182999149,92.6673381999135,92.8715182999149,92.6673381999135,92.8715182999149,92.6673381999135,92.6673381999135,['1'],92.6673381999135,92.6673381999135,1,[0.649284299928695],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
